kf,Du,kvz
0.01,0.291666667,0.55
0.01,0.291666667,5.5
0.01,0.291666667,55
0.01,0.029166667,0.55
0.01,0.029166667,5.5
0.01,0.029166667,55
0.01,0.291666667,0.55
0.01,0.291666667,5.5
0.01,0.291666667,55
0.1,0.291666667,0.55
0.1,0.291666667,5.5
0.1,0.291666667,55
0.1,0.029166667,0.55
0.1,0.029166667,5.5
0.1,0.029166667,55
0.1,0.291666667,0.55
0.1,0.291666667,5.5
0.1,0.291666667,55
1,0.291666667,0.55
1,0.291666667,5.5
1,0.291666667,55
1,0.029166667,0.55
1,0.029166667,5.5
1,0.029166667,55
1,0.291666667,0.55
1,0.291666667,5.5
1,0.291666667,55
